pl_name,st_rad,pl_rade,pl_orbsmax
"HAT-P-13 b",1.560000,14.35900000,0.0427000000
"WASP-43 b",0.600000,10.42400000,0.0142000000
"55 Cnc e",0.943000,2.00000000,0.0158300000
"CoRoT-7 b",0.820000,1.58500000,0.0170160000
"Kepler-12 b",1.483000,18.99900000,0.0556000000
"GJ 3470 b",0.503000,4.20000000,0.0348000000
"HAT-P-14 b",1.530000,13.45080000,0.0596000000
"WASP-19 b",0.990000,15.53600000,0.0165500000
"Kepler-93 b",0.922487,1.47800000,0.0530000000
"CoRoT-2 b",0.907000,16.47723000,0.0285400000
"CoRoT-7 b",0.960000,1.86069400,0.0169000000
"Kepler-1991 b",0.857000,1.26000000,0.1080000000
"Kepler-802 b",0.872000,3.46000000,0.2272000000
"Kepler-245 e",0.787000,1.69000000,0.0400000000
"Kepler-200 c",1.277000,1.99000000,0.0934000000
"Kepler-1775 b",1.647000,3.56000000,0.3986000000
"Kepler-918 b",0.960000,1.36000000,0.0570000000
"WASP-19 b",1.004000,15.63655500,0.0161600000
"Kepler-1189 b",1.040000,1.23000000,0.0467000000
"KELT-8 b",1.670000,20.84874000,0.0457100000
"GJ 436 b",0.437000,3.96000000,0.0287000000
"K2-22 b",0.570000,2.50000000,0.0088000000
"WASP-19 b",0.994000,15.42358400,0.0165300000
"55 Cnc e",0.943000,2.08000000,0.0154400000
"GJ 1214 b",0.216000,2.84708600,0.0141100000
"55 Cnc e",0.963515,1.92000000,0.0154400000
"Kepler-12 b",1.490000,19.12255400,0.0555000000
"HAT-P-14 b",1.591000,13.66377100,0.0610800000
"TrES-4 b",1.834000,19.44761500,0.0502000000
"WASP-12 b",1.619000,20.45642500,0.0230900000
"WASP-77 A b",0.955000,13.56000000,0.0240000000
"WASP-80 b",0.571000,10.67100000,0.0346000000
"HD 97658 b",0.741000,2.24700000,0.0800000000
"WASP-63 b",1.880000,16.02900000,0.0574000000
"WASP-47 b",1.150000,12.89000000,0.0520000000
"Kepler-10 c",1.056000,2.22700000,0.2407000000
"CoRoT-20 b",1.020000,9.42000000,0.0902000000
"HD 80606 b",0.978000,10.98000000,0.4490000000
"GJ 436 b",0.454000,4.09128500,0.0288700000
